DateTime,Wind power,Load
01/01/2018 00:00,6.829,8386.188
01/01/2018 01:00,6.826,8269.031
01/01/2018 02:00,6.8,8118.75
01/01/2018 03:00,6.83,7983.364
01/01/2018 04:00,6.811,7904.27
01/01/2018 05:00,6.806,7744.05
01/01/2018 06:00,6.762,7648.916
01/01/2018 07:00,6.715,7503.948
01/01/2018 08:00,6.706,7426.564
01/01/2018 09:00,6.745,7332.042
01/01/2018 10:00,6.741,7223.951
01/01/2018 11:00,6.691,7126.662
01/01/2018 12:00,6.607,7042.309
01/01/2018 13:00,6.639,6970.847
01/01/2018 14:00,6.544,6922.83
01/01/2018 15:00,6.606,6871.11
01/01/2018 16:00,6.651,6843.553
01/01/2018 17:00,6.623,6801.238
01/01/2018 18:00,6.728,6786.13
01/01/2018 19:00,6.767,6772.199
01/01/2018 20:00,6.649,6813.318
01/01/2018 21:00,6.565,6821.739
01/01/2018 22:00,6.582,6841.591
01/01/2018 23:00,6.539,6848.978
02/01/2018 00:00,6.349,6898.156
02/01/2018 01:00,6.293,6897.147
02/01/2018 02:00,6.303,6915.838
02/01/2018 03:00,6.128,6851.869
02/01/2018 04:00,6.767,6693.801
02/01/2018 05:00,6.184,6641.657
02/01/2018 06:00,6.343,6652.119
02/01/2018 07:00,6.797,6652.653
02/01/2018 08:00,6.113,6668.676
02/01/2018 09:00,5.56,6712.443
02/01/2018 10:00,5.315,6740.66
02/01/2018 11:00,4.915,6712.388
02/01/2018 12:00,4.29,6772.408
02/01/2018 13:00,4.168,6835.372
02/01/2018 14:00,4.064,6922.141
02/01/2018 15:00,4.043,6989.324
02/01/2018 16:00,3.403,7096.969
02/01/2018 17:00,3.49,7178.054
02/01/2018 18:00,3.412,7258.498
02/01/2018 19:00,3.37,7334.398
02/01/2018 20:00,3.21,7393.162
02/01/2018 21:00,3.086,7436.062
02/01/2018 22:00,3.048,7520.541
02/01/2018 23:00,3.034,7541.671
03/01/2018 00:00,3.041,7592.592
03/01/2018 01:00,2.987,7570.399
03/01/2018 02:00,2.65,7601.706
03/01/2018 03:00,2.639,7611.26
03/01/2018 04:00,2.86,7586.922
03/01/2018 05:00,2.775,7506.751
03/01/2018 06:00,2.921,7469.019
03/01/2018 07:00,2.597,7411.918
03/01/2018 08:00,2.417,7366
03/01/2018 09:00,2.415,7340.466
03/01/2018 10:00,2.385,7249.223
03/01/2018 11:00,2.404,7238.719
03/01/2018 12:00,2.044,7323.823
03/01/2018 13:00,1.719,7365.044
03/01/2018 14:00,1.683,7416.31
03/01/2018 15:00,1.768,7438.99
03/01/2018 16:00,1.877,7500.637
03/01/2018 17:00,1.931,7553.274
03/01/2018 18:00,1.879,7619.268
03/01/2018 19:00,1.793,7819.157
03/01/2018 20:00,1.681,8121.235
03/01/2018 21:00,1.698,8348.979
03/01/2018 22:00,1.726,8489.386
03/01/2018 23:00,1.733,8570.026
04/01/2018 00:00,1.661,8621.027
04/01/2018 01:00,1.722,8638.739
04/01/2018 02:00,1.581,8653.844
04/01/2018 03:00,1.659,8610.851
04/01/2018 04:00,1.75,8594.097
04/01/2018 05:00,1.748,8539.776
04/01/2018 06:00,1.754,8546.493
04/01/2018 07:00,1.756,8507.138
04/01/2018 08:00,1.756,8405.874
04/01/2018 09:00,1.865,8292.219
04/01/2018 10:00,1.885,8264.256
04/01/2018 11:00,1.925,8184.307
04/01/2018 12:00,2.165,8171.951
04/01/2018 13:00,2.238,8135.626
04/01/2018 14:00,2.184,8110.1
04/01/2018 15:00,2.184,8105.57
04/01/2018 16:00,2.223,8389.422
04/01/2018 17:00,2.267,8672.769
04/01/2018 18:00,2.294,8758.013
04/01/2018 19:00,2.246,8701.556
04/01/2018 20:00,2.212,8879.615
04/01/2018 21:00,2.238,8754.587
04/01/2018 22:00,2.213,8621.582
04/01/2018 23:00,2.181,8441.642
05/01/2018 00:00,2.204,8278.548
05/01/2018 01:00,2.206,8143.442
05/01/2018 02:00,2.203,8000.173
05/01/2018 03:00,2.218,7852.816
05/01/2018 04:00,2.214,7790.008
05/01/2018 05:00,2.093,7624.653
05/01/2018 06:00,2.069,7549.246
05/01/2018 07:00,2.016,7443.44
05/01/2018 08:00,2.046,7400.925
05/01/2018 09:00,2.031,7334.345
05/01/2018 10:00,2.029,7249.283
05/01/2018 11:00,1.998,7185.066
05/01/2018 12:00,1.967,7133.841
05/01/2018 13:00,2.014,7109.836
05/01/2018 14:00,1.97,7099.994
